Date,Open,High,Low,Close,Adj Close,Volume
2018-02-22,null,null,null,null,null,null
2018-02-23,574.500000,575.500000,567.000000,571.000000,570.099243,119935
2018-02-26,573.000000,575.000000,554.500000,557.000000,556.121277,226208
2018-02-27,558.500000,563.000000,551.000000,557.000000,556.121277,239504
2018-02-28,556.000000,558.500000,552.000000,553.500000,552.626831,73490
2018-03-01,553.500000,571.000000,553.000000,564.500000,563.609497,213584
2018-03-02,559.500000,559.500000,549.500000,554.000000,553.126038,173169
2018-03-05,553.500000,565.000000,550.000000,562.000000,561.113403,104861
2018-03-06,567.500000,575.000000,564.500000,565.000000,564.108704,267156
2018-03-07,565.000000,568.500000,559.000000,561.500000,560.614197,135056
2018-03-08,562.500000,577.000000,562.500000,574.000000,573.094482,135075
2018-03-09,574.000000,577.500000,570.000000,575.000000,574.092896,170031
2018-03-12,578.500000,581.500000,571.500000,575.000000,574.092896,91753
2018-03-13,575.500000,587.000000,575.500000,580.000000,579.085022,147900
2018-03-14,579.000000,584.500000,574.000000,580.000000,579.085022,185674
2018-03-15,580.500000,584.500000,563.500000,567.000000,566.105530,174085
2018-03-16,568.000000,571.500000,554.000000,556.500000,555.622070,818405
2018-03-19,558.000000,559.500000,544.000000,551.000000,550.130737,390805
2018-03-20,551.500000,560.500000,544.500000,559.500000,558.617371,128426
2018-03-21,560.500000,563.500000,554.500000,559.500000,558.617371,86062
2018-03-22,557.500000,561.500000,539.000000,543.000000,542.143372,186688
2018-03-23,538.500000,555.000000,532.000000,552.500000,551.628418,271121
2018-03-26,551.000000,561.500000,545.000000,547.000000,546.137085,302861
2018-03-27,554.500000,559.000000,539.500000,545.000000,544.140259,294269
2018-03-28,540.500000,543.500000,529.000000,543.000000,542.143372,265954
2018-03-29,520.000000,520.000000,455.399994,457.399994,456.678406,1409409
2018-04-03,457.399994,471.200012,455.000000,462.799988,462.069885,638620
2018-04-04,464.000000,466.799988,446.399994,450.399994,449.689453,359259
2018-04-05,456.399994,458.799988,446.600006,456.399994,455.679993,244080
2018-04-06,456.200012,456.200012,449.399994,451.799988,451.087250,135074
2018-04-09,451.799988,457.399994,436.200012,443.600006,442.900208,352173
2018-04-10,442.200012,449.399994,440.600006,444.000000,443.299561,177873
2018-04-11,447.200012,454.399994,443.200012,451.600006,450.887573,235036
2018-04-12,451.600006,472.000000,444.000000,470.600006,469.857605,350892
2018-04-13,472.200012,474.799988,461.200012,463.600006,462.868652,212063
2018-04-16,465.399994,468.399994,456.200012,458.399994,457.676849,127370
2018-04-17,460.000000,467.000000,457.799988,464.000000,463.268005,171160
2018-04-18,466.000000,466.000000,457.799988,462.600006,461.870239,101018
2018-04-19,490.000000,600.000000,490.000000,589.500000,588.570007,1674637
2018-04-20,590.500000,597.000000,552.000000,570.500000,569.599976,797698
2018-04-23,560.000000,566.000000,554.500000,561.500000,561.500000,166174
2018-04-24,561.500000,570.000000,538.000000,547.000000,547.000000,234052
2018-04-25,544.500000,545.000000,532.000000,534.500000,534.500000,211352
2018-04-26,534.500000,556.500000,534.500000,552.500000,552.500000,120285
2018-04-27,553.500000,559.000000,546.500000,549.000000,549.000000,127365
2018-04-30,549.000000,556.500000,546.000000,552.000000,552.000000,34470
2018-05-02,556.000000,558.500000,534.500000,536.000000,536.000000,216498
2018-05-03,535.000000,540.000000,532.000000,533.000000,533.000000,101001
2018-05-04,533.000000,536.500000,524.000000,527.500000,527.500000,106849
2018-05-07,529.500000,537.000000,529.500000,532.500000,532.500000,82187
2018-05-08,530.500000,535.000000,525.000000,534.500000,534.500000,97388
2018-05-09,534.000000,534.000000,528.000000,531.500000,531.500000,27286
2018-05-11,533.000000,538.000000,530.500000,530.500000,530.500000,88143
2018-05-14,532.500000,532.500000,518.000000,525.500000,525.500000,155044
2018-05-15,526.000000,546.500000,526.000000,529.000000,529.000000,191101
2018-05-16,529.000000,535.000000,523.500000,533.000000,533.000000,76808
2018-05-17,532.000000,539.500000,529.000000,539.000000,539.000000,71583
2018-05-18,539.500000,542.000000,534.000000,538.500000,538.500000,60239
2018-05-21,539.500000,543.500000,538.500000,541.500000,541.500000,53119
2018-05-22,541.500000,541.500000,525.500000,527.000000,527.000000,53000
2018-05-23,527.000000,535.000000,526.000000,529.000000,529.000000,72207
2018-05-24,529.000000,548.500000,529.000000,539.000000,539.000000,93725
2018-05-25,540.000000,547.500000,535.000000,537.500000,537.500000,58552
2018-05-28,537.500000,542.000000,529.500000,532.000000,532.000000,30114
2018-05-29,532.500000,551.000000,532.500000,550.500000,550.500000,174375
2018-05-30,550.500000,561.500000,547.500000,560.000000,560.000000,288348
2018-05-31,562.500000,564.500000,552.000000,559.500000,559.500000,179197
2018-06-01,557.500000,563.000000,550.000000,551.000000,551.000000,74206
2018-06-04,552.500000,562.500000,549.500000,559.000000,559.000000,89700
2018-06-05,557.000000,567.500000,554.500000,565.000000,565.000000,82632
2018-06-06,565.000000,565.000000,565.000000,565.000000,565.000000,0
2018-06-07,567.000000,567.500000,554.000000,554.000000,554.000000,74839
2018-06-08,556.000000,566.500000,548.500000,565.000000,565.000000,143795
2018-06-11,565.500000,567.000000,557.000000,559.500000,559.500000,52190
2018-06-12,558.500000,558.500000,553.000000,553.000000,553.000000,39095
2018-06-13,553.500000,565.500000,553.500000,560.000000,560.000000,37959
2018-06-14,560.500000,567.500000,556.000000,565.500000,565.500000,48213
2018-06-15,566.500000,566.500000,549.500000,549.500000,549.500000,158779
2018-06-18,549.000000,549.000000,543.000000,547.000000,547.000000,39661
2018-06-19,543.500000,549.500000,540.500000,543.500000,543.500000,56864
2018-06-20,545.500000,548.000000,542.500000,543.500000,543.500000,50297
2018-06-21,543.500000,557.000000,542.000000,547.500000,547.500000,98887
2018-06-22,547.500000,547.500000,547.500000,547.500000,547.500000,0
2018-06-25,548.500000,553.500000,530.500000,532.500000,532.500000,72903
2018-06-26,530.500000,540.500000,525.500000,538.000000,538.000000,103192
2018-06-27,538.500000,545.500000,531.500000,542.500000,542.500000,62244
2018-06-28,537.000000,547.500000,534.000000,541.500000,541.500000,71986
2018-06-29,541.000000,557.000000,540.000000,557.000000,557.000000,192333
2018-07-02,552.000000,572.000000,552.000000,562.500000,562.500000,161912
2018-07-03,569.000000,569.000000,561.500000,562.000000,562.000000,112854
2018-07-04,561.000000,568.000000,553.500000,565.500000,565.500000,136506
2018-07-05,567.500000,569.000000,564.000000,566.000000,566.000000,136720
